Código Región,Nombre Región,Código Municipio,Nombre Municipio,Código Habilitación Prestador Salud,Razón Social Organización,Nombre Sede,Número NIT,Dígito Verificación NIT,Dirección,Número Teléfono,Dirección Correo Electrónico,Punto
01,Valle de Aburrá,05308,Girardota,053080610401,E.S.E. HOSPITAL SAN RAFAEL,E.S.E. HOSPITAL SAN RAFAEL,"890,980,727",9,KR 16 # 11-01,5744052380,girarhs.a.@epm.net.co,"(6.375113, -75.449558)"
07,Oriente,05667,San Rafael,056670151201,E.S.E. HOSPITAL PRESBITERO ALONSO MARIA GIRALDO,ESE HOSPITAL PBRO ALONSO MARIA GIRALDO,"891,982,128",1,KR 29 # 26-189,5748586612,snrahs01@edatel.net.co,"(6.294397, -75.026343)"
02,Bajo Cauca,05790,Tarazá,057900551301,E.S.E. HOSPITAL SAN ANTONIO,E.S.E. HOSPITAL SAN ANTONIO,"890,984,696",7,CL 26 # 32-1311,5748365616,tarahs01@edatel.net.co,"(7.579264, -75.399406)"
07,Oriente,05607,El Retiro,056070238301,E.S.E. HOSPITAL SAN JUAN DE DIOS DEL RETIRO,E.S.E. HOSPITAL SAN JUAN DE DIOS DEL RETIRO,"890,982,124",7,CL 18 # 21-103,5745410055,eseretiro@epm.net.co,"(6.05621, -75.503709)"
07,Oriente,05197,Cocorná,051970559301,ESE HOSPITAL SAN JUAN DE DIOS DE COCORNA,ESE HOSPITAL SAN JUAN DE DIOS,"890,981,108",4,CL 21 # 23-45,5748343685,cocohs01@edatel.net.co,"(6.057621, -75.186546)"
04,Nordeste,05858,Vegachí,058580629401,E.S.E. HOSPITAL SAN CAMILO DE LELIS,E.S.E. HOSPITAL SAN CAMILO DE LELIS,"800,114,286",3,CL 49 # 39 - 99,5748305474,vegahs01edatel.net.co,"(6.762892, -74.788828)"
07,Oriente,05148,El Carmen de Viboral,051480431001,E.S.E. HOSPITAL SAN JUAN DE DIOS DEL CARMEN DE VIBORAL,E.S.E. HOSPITAL SAN JUAN DE DIOS DEL CARMEN DE VIBORAL,"890,907,279",0,KR 31 # 19-58,5745434343,hospitalcarmen@epm.net.co,"(6.075086, -75.331621)"
06,Occidente,05044,Anzá,050440501401,E.S.E. HOSPITAL SAN FRANCISCO DE ASIS,E.S.E. HOSPITAL SAN FRANCISCO DE ASIS,"890,397,282",3,KR 8 # 7-29,5748522029,anzahs01@edatel.net.co,"(6.302545, -75.852356)"
07,Oriente,05206,Concepción,052060478001,ESE HOSPITAL JOSE MARIA CORDOBA,ESE HOSPITAL JOSE MARIA CORDOBA,"890,980,512",2,KR 19 # 19-83,5748567024,hospitalconcepcion@hotmail.com,"(6.041964, -74.992971)"
05,Norte,05887,Yarumal,058870228401,E.S.E. HOSPITAL SAN JUAN DE DIOS YARUMAL,E.S.E. HOSPITAL SAN JUAN DE DIOS YARUMAL,"890,981,726",6,KR 23 # 12 - 13,5748871550,hospiyar@col.telecom.com.co,"(6.957323, -75.414931)"
07,Oriente,05321,Guatapé,053210442901,E.S.E. HOSPITAL LA INMACULADA,E.S.E. HOSPITAL LA INMACULADA,"890,981,817",8,KR 23A # 31-35,5748610950,guaths01@edatel.net.co,"(6.232029, -75.156559)"
02,Bajo Cauca,05120,Cáceres,051200554701,EMPRESA SOCIAL DEL ESTADO HOSPITAL ISABEL LA CATOLICA,EMPRESA SOCIAL DEL ESTADO HOSPITAL ISABEL LA CATOLICA,"890,982,430",6,KR 50 # 52-48,5748362039,hospitalcaceres@gmail.com,"(7.581577, -75.347834)"
07,Oriente,05400,La Unión,054000242001,E.S.E. HOSPITAL SAN ROQUE  LA UNION,E.S.E. HOSPITAL SAN ROQUE LA UNION,"890,980,866",4,CL 2 # 11-54,5745560619,uniohs@edatel.net.co,"(5.967984, -75.359452)"
08,Suroeste,05642,Salgar,056420457601,E.S.E. HOSPITAL SAN JOSE,E.S.E. HOSPITAL SAN JOSE,"890,981,424",7,CL 32A # 33-04,5748442020,salghs01@edatel.net.co,"(5.965121, -75.980536)"
08,Suroeste,05034,Andes,050340443201,E.S.E. HOSPITAL SAN RAFAEL,E.S.E. HOSPITAL SAN RAFAEL,"890,980,814",1,AV MEDELLIN # 48-20,5748417120,andehs01@edatel.net.co,"(5.653782, -75.877633)"
07,Oriente,05649,San Carlos,056490398301,E.S.E. HOSPITAL SAN VICENTE DE PAUL SAN CARLOS,E.S.E. HOSPITAL SAN VICENTE DE PAUL,"890,981,561",8,CL 21 # 24-58,5748358794,sncahs@edatel.net.co,"(6.187542, -74.996393)"
05,Norte,05664,San Pedro de los Milagros,056640448101,E.S.E. HOSPITAL SANTA ISABEL,E.S.E. HOSPITAL SANTA ISABEL,"800,014,405",2,CL 43A #  52A-109,5748687610,snpehs01@edtel.net.co,"(6.45668, -75.559802)"
08,Suroeste,05145,Caramanta,051450158501,E.S.E. EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN ANTONIO,E.S.E. HOSPITAL SAN ANTONIO,"890,981,163",1,KR 21 BOLIVAR # 16-33,5748553524,caramhs1@edatel.net.co,"(5.545532, -75.644077)"
07,Oriente,05440,Marinilla,054400527301,E.S.E. SAN JUAN DE DIOS DE MARINILLA,E.S.E. SAN JUAN DE DIOS DE MARINILLA,"890,980,752",3,KR 36 # 28-85,5745484044,marih01@edatel.net.co,"(6.174593, -75.33948)"
04,Nordeste,05190,Cisneros,051900559201,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN ANTONIO,E.S.E HOSPITAL SAN ANTONIO,"890,980,444",1,CL 18 # 17-105,5748631847,cisnhs01@edatel.net.co,"(6.537253, -75.088447)"
06,Occidente,05306,Giraldo,053060447701,E.S.E. HOSPITAL SAN ISIDRO,E.S.E. HOSPITAL SAN ISIDRO,"800,193,392",1,Cra 10 No 11-05,5748571325,girahs01@edatel.net.co,"(6.681158, -75.953248)"
07,Oriente,05021,Alejandría,050210509801,ESE HOSPITAL PBRO LUIS FELIPE ARBELAEZ,ESE HOSPITAL PBRO LUIS FELIPE ARBELAEZ,"800,029,509",5,KR 19 # 16-70,5748660077,alejhs01@edatel.net.co,"(6.373932, -75.140366)"
08,Suroeste,05467,Montebello,054670396201,E.S.E. HOSPITAL SAN ANTONIO DE MONTEBELLO,E.S.E. HOSPITAL SAN ANTONIO DE MONTEBELLO,"890,981,096",4,CL 18 # 18-85,5748480559,mtbehs01@edatel.net.co,"(5.948656, -75.52304)"
07,Oriente,05615,Rionegro,056150137601,E.S.E. HOSPITAL SAN JUAN DE DIOS,E.S.E. HOSPITAL SAN JUAN DE DIOS,"890,907,254",7,KR 48 # 56-59,5745313700,eserionegro@epm.net.co,"(6.158646, -75.371353)"
09,Urabá,05480,Mutatá,054800491601,E.S.E. HOSPITAL LA ANUNCIACION,E.S.E. HOSPITAL LA ANUNCIACION,"890,981,268",4,KR 10 # 10-08,5748578622,mutahs01@edatel.net.co,"(7.247664, -76.439309)"
01,Valle de Aburrá,05266,Envigado,052660491001,E.S.E. HOSPITAL MANUEL URIBE ANGEL,ESE HOSPITAL MANUEL URIBE ANGEL,"890,906,347",9,DG 31 # 36 A SUR - 80,5742703511,envihs01@edatel.net.co,"(6.166892, -75.580128)"
06,Occidente,05628,Sabanalarga,056280510701,E.S.E. HOSPITAL SAN PEDRO,E.S.E. HOSPITAL SAN PEDRO,"890,982,140",5,KR 17 # 15-94,5748554315,sabahs01@edatel.net.co,"(6.84718, -75.816565)"
03,Magdalena Medio,05425,Maceo,054250510501,EMPRESA SOCIAL DEL ESTADO MARCO A. CARDONA,EMPRESA SOCIAL DEL ESTADO HOSPITAL  MARCO A. CARDONA,"890,906,966",8,KR 30 # 33-237,5748640283,macehs01@edatel.net.co,"(6.556282, -74.788297)"
06,Occidente,05284,Frontino,052840217001,EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA ANTONIA TORO DE ELEJALDE,EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA ANTONIA TORO DE ELEJALDE,"890,906,991",2,KR 27 # 31 - 38,5748595050,fronhs01@edatel.net.co,"(6.780833, -76.126499)"
04,Nordeste,05670,San Roque,056700581401,E.S.E. HOSPITAL MUNICIPAL SAN ROQUE,ESE HOSPITAL MUNICIPAL SAN ROQUE,"890,906,211",6,CL 25 # 18-30,5748656735,esehospitalsr@gmail.com,"(6.487918, -75.018205)"
08,Suroeste,05030,Amaga,050300437401,E.S.E. HOSPITAL SAN FERNANDO,E.S.E. HOSPITAL SAN FERNANDO,"890,906,346",1,KR 52 # 51-82,5748472121,amaghs01@edatel.net.co,"(6.040678, -75.704572)"
07,Oriente,05055,Argelia,050550547901,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JULIAN,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JULIAN,"890,981,851",9,CL 31 # 32-14,5748650042,argeh01@edatel.net.co,"(5.731866, -75.144671)"
08,Suroeste,05093,Betulia,050930237101,E.S.E. HOSPITAL GERMAN VELEZ GUTIERREZ,E.S.E. HOSPITAL GERMAN VELEZ GUTIERREZ,"890,982,116",8,KR 21 # 15-20,5748436085,betuhs01@edalel.net.co,"(6.113337, -75.984712)"
01,Valle de Aburrá,05360,Itagüí,053600433901,E.S.E. HOSPITAL SAN RAFAEL DE ITAGUI,E.S.E. HOSPITAL SAN RAFAEL DE ITAGUI,"890,980,066",9,KR 51A # 45-51,5743788100,itaguihsr@epm.net.co,"(6.171281, -75.613242)"
01,Valle de Aburrá,05380,La estrella,053800501601,E.S.E. HOSPITAL LA ESTRELLA,EMPRESA SOCIAL DEL ESTADO HOSPITAL LA ESTRELLA,"800,138,968",1,CL 80 SUR #  59-73,5743021010,estrhs01@edatel.net.co,"(6.157163, -75.64302)"
02,Bajo Cauca,05154,Caucasia,051540220101,E.S.E. HOSPITAL CESAR URIBE PIEDARHITA,HOSPITAL CESAR URIBE PIEDARHITA,"890,980,757",1,CL 31 KR 18 EL PALMAR,5748392161,cauchs01@edatel.net.co,"(7.995211, -75.19809)"
08,Suroeste,05861,Venecia,058610145201,E.S.E.  HOSPITAL SAN RAFAEL DE VENECIA,ESE HOSPITAL SAN RAFAEL DE VENECIA,"890,980,367",0,CL 52 # 50-82,5748490313,venehs01@edatel.net.co,"(5.965161, -75.735084)"
07,Oriente,05674,San Vicente,056740479201,E S E HOSPITAL MUNICIPIO DE SAN VICENTE,E S E HOSPITAL MUNICIPIO DE SAN VICENTE,"890,983,738",3,AV CARVAJAL # 31-36,5748544100,snvihs01@edatel.net.co,"(6.282818, -75.332085)"
05,Norte,05819,Toledo,058190612301,E.S.E. HOSPITAL PEDRO CLAVER AGUIRRE,EMPRESA SOCIAL DEL ESTADO HOSPITAL PEDRO CLAVER AGUIRRE Y,"800,139,704",7,CL CORDOBA #  9-07,5748619173,hospitoledo@edatel.net.co,"(7.011666, -75.691509)"
06,Occidente,05059,Armenia,050590550601,EMPRES SOCIAL DEL ESTADO HOSPITAL SAN MARTIN DE PORRES,EMPRES SOCIAL DEL ESTADO HOSPITAL SAN MARTIN DE PORRES,"890,982,153",0,CL 11 # 6-69,5748559099,armehs01@edatel.netco,"(6.159244, -75.785966)"
05,Norte,05264,Entrerrios,052640230901,ESE HOSPITAL PRESBITERO EMIGDIO PALACIO,ESE HOSPITAL PRESBITERO EMIGDIO PALACIO,"890,984,779",1,KR 13 # 10 - 36,5748670051,entrhso1@edatel.net.co,"(6.567066, -75.517965)"
08,Suroeste,05390,La Pintada,053900509001,EMPRESA SOCIAL DEL ESTADO HOSPITAL ANTONIO ROLDAN BETANCUR,EMPRESA SOCIAL DEL ESTADO HOSPITAL ANTONIO ROLDAN BETANCUR,"811,013,792",3,KR 30 # 30A - 45,5748454063,pinths01@edatel.net.co,"(5.740705, -75.606859)"
07,Oriente,05652,San Francisco,056520601601,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN FRANCISCO DE ASIS,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN FRANCISCO DE ASIS,"800,133,887",9,KR 9 #10-09,5748323027,sfrahs01@edatel.net.co,"(5.964372, -75.100077)"
08,Suroeste,05792,Tarso,057920458701,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN PABLO,E.S.E SAN PABLO,"890,982,182",4,KR 18 # 21 - 02,5748458606,tarshs01@edatel.net.co,"(5.865957, -75.820945)"
05,Norte,05038,Angostura,050380153801,E.S.E. EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL DE  ANGOSTURA,E.S.E. EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL DE ANGOSTURA,"890,982,183",1,Kr 10 # 16-1,5748645099,ANGOHS01@EDATEL.NET.CO,"(6.887402, -75.334797)"
